model,prompt,vignette_id,vignette_class,condition,n_admits,n_total,admit_rate
qwen,ignore,3,borderline,grey_rect,6,20,0.3
qwen,ignore,3,borderline,no_photo,20,50,0.4
qwen,ignore,4,clear,grey_rect,20,20,1.0
qwen,ignore,4,clear,no_photo,48,50,0.96
qwen,ignore,5,clear,grey_rect,20,20,1.0
qwen,ignore,5,clear,no_photo,50,50,1.0
qwen,ignore,6,clear,grey_rect,16,20,0.8
qwen,ignore,6,clear,no_photo,44,50,0.88
qwen,ignore,7,clear,grey_rect,1,20,0.05
qwen,ignore,7,clear,no_photo,6,50,0.12
qwen,ignore,8,borderline,grey_rect,1,19,0.05263157894736842
qwen,ignore,8,borderline,no_photo,10,49,0.20408163265306123
qwen,ignore,9,borderline,grey_rect,6,20,0.3
qwen,ignore,9,borderline,no_photo,28,50,0.56
qwen,ignore,10,clear,grey_rect,20,20,1.0
qwen,ignore,10,clear,no_photo,49,50,0.98
qwen,ignore,11,borderline,grey_rect,10,20,0.5
qwen,ignore,11,borderline,no_photo,19,50,0.38
qwen,ignore,12,borderline,grey_rect,14,20,0.7
qwen,ignore,12,borderline,no_photo,33,50,0.66
