model,prompt,mentions_race,mentions_gender,gender_used_in_reasoning,clinical_fidelity_passed
llama,acknowledge,0.0,0.36809815950920244,0.36809815950920244,97.30061349693251
llama,baseline,0.0,0.4968944099378882,0.4968944099378882,96.77018633540374
llama,ignore,0.0,0.38167938931297707,0.38167938931297707,98.34605597964376
qwen,acknowledge,0.0,6.552706552706552,0.5698005698005698,99.002849002849
qwen,baseline,0.0,3.3773861967694567,0.2936857562408223,99.26578560939795
qwen,ignore,0.0,1.8018018018018018,0.3003003003003003,99.3993993993994
