Estimate,SE,z,p_value,model,prompt,predictor,analysis,family,p_adj_m_p_f,p_adj_m_p
-0.0026238664939805,0.0473275871154063,-0.0554405295918086,0.9557875075269662,qwen,baseline,threatening_z,borderline_only,attribute,0.9557875075269662,0.9557875075269662
-0.0257549449308972,0.0493983241347126,-0.5213728478047505,0.6021070624908592,qwen,baseline,trustworthy_z,borderline_only,attribute,0.8429498874872029,0.8028094166544789
0.0654282210787129,0.0409774427945975,1.5966887296183123,0.1103351091500511,qwen,baseline,attractive_z,borderline_only,attribute,0.19308644101258943,0.18914590140008758
0.061935867769172,0.0329759213445484,1.8782149290700936,0.0603517686671421,qwen,baseline,prototypic_z,borderline_only,attribute,0.1408207935566649,0.139119482980317
0.2383527296328492,0.0859524222552438,2.773077516361764,0.0055528891740953,qwen,baseline,race_ambiguity_z,borderline_only,attribute,0.01943511210933355,0.0333173350445718
0.0064052782952418,0.0289982975636905,0.2208846323193127,0.8251822635306422,qwen,baseline,age_rated_z,borderline_only,attribute,0.9557875075269662,0.94476890175004
-0.209995580202732,0.072652899707849,-2.8903950296156613,0.0038475800360935,qwen,baseline,luminance_z,borderline_only,attribute,0.01943511210933355,0.0333173350445718
0.036761808407127,0.2179214197925912,0.1686929556631717,0.8660381599375367,qwen,baseline,raceB,borderline_only,race,0.8660381599375367,0.94476890175004
-0.2182836968613281,0.1654225522813397,-1.3195522245968356,0.1869845627751666,qwen,baseline,raceI,borderline_only,race,0.24931275036688877,0.28047684416274987
0.2524223942492185,0.1390935642456622,1.814766884565549,0.0695597414901585,qwen,baseline,raceL,borderline_only,race,0.139119482980317,0.139119482980317
0.44247023156506,0.2145949941839228,2.061885149034895,0.0392186717589108,qwen,baseline,raceW,borderline_only,race,0.139119482980317,0.11765601527673239
-0.1309843270009563,0.0634491127520248,-2.0643996632841217,0.0389798383837662,qwen,baseline,genderM,borderline_only,gender,0.0389798383837662,0.11765601527673239
-0.0041497076908482,0.0499624198243708,-0.0830565794338106,0.9338065510946376,qwen,ignore,threatening_z,borderline_only,attribute,0.9899082569425104,0.9899082569425104
0.0155309088114474,0.0519873264133455,0.2987441340599608,0.765135279785017,qwen,ignore,trustworthy_z,borderline_only,attribute,0.9899082569425104,0.9899082569425104
0.000547057859438,0.043250940812877,0.0126484614937019,0.9899082569425104,qwen,ignore,attractive_z,borderline_only,attribute,0.9899082569425104,0.9899082569425104
