Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
-5.838130456628138,1.683790802221239,-3.467254037096852,0.0005258047063436659,qwen,baseline,1,(Intercept)
-0.6736990895009745,0.789725795964149,-0.8530797562190284,0.3936150767883942,qwen,baseline,1,threatening_z
-0.6781507941389685,0.9287134756983784,-0.7302045376578707,0.46526516930681394,qwen,baseline,1,trustworthy_z
-0.4997803937100227,0.7580506582546471,-0.6592968270230493,0.5097051795440648,qwen,baseline,1,attractive_z
0.4416646248284913,0.5942498325351825,0.7432305415119197,0.45734211557187543,qwen,baseline,1,prototypic_z
6.947080321309755,4.129317361355078,1.6823798495909261,0.09249520623282945,qwen,baseline,1,race_ambiguity_z
0.561021535967292,0.4714608191703513,1.1899642836801247,0.23406043032254145,qwen,baseline,1,age_rated_z
-8.588552799860933,4.7248791574956766,-1.8177296209228588,0.06910546810097283,qwen,baseline,1,luminance_z
-38.54749546885485,968288.5102297179,-3.9809927580065774e-05,0.9999682362734256,qwen,baseline,1,raceB
-8.202854856862222,4.643634848813472,-1.766472843780598,0.0773165536215305,qwen,baseline,1,raceI
6.955781882572607,4.090670851105238,1.7004012632043615,0.08905547438812349,qwen,baseline,1,raceL
11.811506767336722,7.412791052466174,1.5933953464676618,0.11107152901320974,qwen,baseline,1,raceW
-3.5069311396120253,2.46222108331724,-1.42429579673946,0.15436086374187666,qwen,baseline,1,genderM
-2.000155278000289,0.4039791447551709,-4.9511349879520905,7.378190135971322e-07,qwen,baseline,2,(Intercept)
-0.06329815995396049,0.14272122354759526,-0.4435090898225908,0.6573975459198496,qwen,baseline,2,threatening_z
-0.10554214253138883,0.15367965075310222,-0.6867671940571373,0.4922294459812095,qwen,baseline,2,trustworthy_z
-0.03327999671886051,0.12686758643113763,-0.26232072080069513,0.7930741883292687,qwen,baseline,2,attractive_z
0.05129465384593196,0.1042603758813037,0.4919860820790526,0.6227291825736133,qwen,baseline,2,prototypic_z
