Estimate,SE,z,p_value,model,prompt,predictor
0.32253846983965784,0.7149301059709791,0.4511468563792032,0.6518837088139797,qwen,baseline,(Intercept)
-0.01871817673748922,0.04475002521072585,-0.4182830434026834,0.6757401857440798,qwen,baseline,threatening_z
-0.034533396958981485,0.046635522296136475,-0.7404955548625304,0.45899935739902037,qwen,baseline,trustworthy_z
0.06018630493038081,0.03874573229991151,1.5533660446654731,0.12033571013582717,qwen,baseline,attractive_z
0.054631537290997775,0.03118934495263618,1.751608998969381,0.07984106412890872,qwen,baseline,prototypic_z
0.27639414693067355,0.08122924315107874,3.402643385666003,0.0006673732648058623,qwen,baseline,race_ambiguity_z
0.0156479346821475,0.02742631034776723,0.5705446516039075,0.5683083462445577,qwen,baseline,age_rated_z
-0.24722339241767585,0.06865209797010192,-3.601104696397508,0.00031686793356684007,qwen,baseline,luminance_z
0.06620214640666511,0.20579367518763,0.32169184182315647,0.7476861588806956,qwen,baseline,raceB
-0.16532419702993456,0.1562905197852731,-1.0578005451454944,0.2901463842332938,qwen,baseline,raceI
0.33233993217901814,0.13163461674438173,2.524715309684697,0.011579204970158621,qwen,baseline,raceL
0.5326853993378345,0.20288384435867865,2.6255683443975917,0.008650444075818822,qwen,baseline,raceW
-0.1818880119555912,0.059924826693472766,-3.0352697202777748,0.002403206644638637,qwen,baseline,genderM
0.29546093619010017,0.8566967887763544,0.3448839076566586,0.730181649052988,qwen,ignore,(Intercept)
-0.025456431306376495,0.0474316198771321,-0.5366974894030478,0.591476590524428,qwen,ignore,threatening_z
-0.0036582086526369367,0.049378558958271666,-0.07408496176910263,0.940942781145258,qwen,ignore,trustworthy_z
-0.013187977708724763,0.04104851349730008,-0.321277838954928,0.7479998488977737,qwen,ignore,attractive_z
-0.026611273392669336,0.03304988432704986,-0.8051850690106407,0.4207128912662524,qwen,ignore,prototypic_z
-0.03829028385143747,0.08593482047194373,-0.4455735596019381,0.6559053132446178,qwen,ignore,race_ambiguity_z
-0.007748907132299023,0.029094111562020266,-0.26633936271883,0.7899778604625273,qwen,ignore,age_rated_z
0.1022480750881558,0.07261145824408201,1.4081534452104085,0.15908563819804783,qwen,ignore,luminance_z
0.26299515289553166,0.21801570225854186,1.2063128947641086,0.22769686756297633,qwen,ignore,raceB
0.23412063194053923,0.16562230170798792,1.4135815619403849,0.15748479809795682,qwen,ignore,raceI
0.08950078563049249,0.13941180751802754,0.6419885605379517,0.5208806105737622,qwen,ignore,raceL
0.06752672926006034,0.21481155793715456,0.3143533332587999,0.7532526955430682,qwen,ignore,raceW
0.09763839153995377,0.0633806721601093,1.5405073536188478,0.12343673171061902,qwen,ignore,genderM
0.44145183979244956,0.7725973117862576,0.571386714732162,0.5677375326469308,qwen,acknowledge,(Intercept)
-0.018116051192913818,0.04563365732821136,-0.39698880724412644,0.6913757144021179,qwen,acknowledge,threatening_z
0.012691699281843943,0.047501939931653046,0.2671827571696034,0.7893284515070405,qwen,acknowledge,trustworthy_z
0.004627173205331148,0.03944787466694168,0.11729841580562606,0.9066235803698928,qwen,acknowledge,attractive_z
-0.037719246918330875,0.031749465978890515,-1.1880277590624526,0.23482247345160975,qwen,acknowledge,prototypic_z
-0.04912754179119122,0.0826372969043396,-0.5944959919013438,0.5521804222773506,qwen,acknowledge,race_ambiguity_z
-0.0349306311772378,0.02803858808711451,-1.2458056400240287,0.21283575848216946,qwen,acknowledge,age_rated_z
0.03140899168987396,0.06989529681454107,0.4493720339039981,0.653163301947163,qwen,acknowledge,luminance_z
-0.06101808483015837,0.20952085556190264,-0.2912267834460549,0.7708778796796916,qwen,acknowledge,raceB
0.01673603982861311,0.1592254871722297,0.10510905085509463,0.9162892775455473,qwen,acknowledge,raceI
0.03582095305358683,0.13393589478355972,0.2674484917689426,0.789123867662965,qwen,acknowledge,raceL
-0.06637091763043272,0.20651671385296566,-0.32138278976144774,0.7479203237105014,qwen,acknowledge,raceW
-0.09376217920896349,0.06101361315426093,-1.5367419557977045,0.12435651247194562,qwen,acknowledge,genderM
0.7723909073763684,0.2483856129688162,3.109644307270482,0.0018731276026805043,llama,baseline,(Intercept)
-0.035987643005836165,0.03882501295127406,-0.9269190212763397,0.35396858044565394,llama,baseline,threatening_z
-0.010156632505283768,0.0404575566675499,-0.2510441396336268,0.8017799831491089,llama,baseline,trustworthy_z
-0.0008161240558348132,0.033434773905746305,-0.02440943845277653,0.9805260197732374,llama,baseline,attractive_z
0.00709530544954288,0.026923997048301028,0.26353091024390124,0.7921414023457061,llama,baseline,prototypic_z
0.03429736365437511,0.07018904642836833,0.4886426785891357,0.625094692222041,llama,baseline,race_ambiguity_z
-0.03007136095011774,0.023578859061739146,-1.2753526738244017,0.2021844416830236,llama,baseline,age_rated_z
-0.04242569444604667,0.059565541680001735,-0.7122523064419723,0.47630855196950245,llama,baseline,luminance_z
0.10754095125227062,0.17815302577175296,0.6036436978064605,0.5460805538626884,llama,baseline,raceB
0.1103692678322952,0.13570364565783602,0.8133110005797555,0.4160397715447329,llama,baseline,raceI
0.11786264850227529,0.11376485908692259,1.036019817087997,0.3001928974045708,llama,baseline,raceL
0.19443679553111712,0.17566557758601456,1.106857690636125,0.2683554608752492,llama,baseline,raceW
0.06298571991147728,0.05181746854700858,1.215530624664478,0.22416377581552926,llama,baseline,genderM
1.0274895272608062,0.22075477336380542,4.654438550089679,3.2486470185990304e-06,llama,ignore,(Intercept)
