Estimate,SE,z,p_value,model,prompt,predictor,analysis
0.028834280344630724,0.30688556567224085,0.09395776005778728,0.9251427108320925,qwen,baseline,(Intercept),borderline_only
-0.033339214377811635,0.053996908105911755,-0.6174282111193984,0.5369523189850757,qwen,baseline,threatening_z,borderline_only
-0.036065386284232254,0.056266244561774724,-0.6409773135762785,0.5215374226253096,qwen,baseline,trustworthy_z,borderline_only
0.07758528508385445,0.046803407381175,1.6576845453149713,0.0973811548195341,qwen,baseline,attractive_z,borderline_only
0.041245010191335106,0.03764633639107783,1.0955916071851857,0.27325753622525206,qwen,baseline,prototypic_z,borderline_only
0.19311774644424937,0.09800101335260089,1.9705688730934345,0.04877320991556001,qwen,baseline,race_ambiguity_z,borderline_only
0.012896041937604602,0.033079859111193856,0.38984573344935214,0.6966506235882137,qwen,baseline,age_rated_z,borderline_only
-0.2064782220404946,0.08280384538240887,-2.493582527320157,0.01264611826983498,qwen,baseline,luminance_z,borderline_only
-0.014924194138395859,0.2484399809053284,-0.06007162810112651,0.9520985866376058,qwen,baseline,raceB,borderline_only
-0.18081147526588634,0.1886184380898088,-0.9586097578636228,0.33775537496517993,qwen,baseline,raceI,borderline_only
0.21744944845951852,0.15897562245593125,1.3678163047909844,0.17136958273513556,qwen,baseline,raceL,borderline_only
0.3925816961535558,0.24489458949330037,1.603063983429882,0.10892052865915038,qwen,baseline,raceW,borderline_only
-0.1782014375473926,0.07229156250297088,-2.465037846430132,0.013699878018731734,qwen,baseline,genderM,borderline_only
-0.37407380327458983,0.36581787536686056,-1.0225684103037607,0.3065119519735423,qwen,ignore,(Intercept),borderline_only
-0.0020025703925018474,0.05513207093645851,-0.03632314836875753,0.9710246923874905,qwen,ignore,threatening_z,borderline_only
0.02046232663561493,0.05744189777788369,0.35622650760493063,0.7216709420937775,qwen,ignore,trustworthy_z,borderline_only
-0.015792806566278357,0.04773298599656859,-0.3308572936839456,0.7407522815514493,qwen,ignore,attractive_z,borderline_only
-0.01515864321311428,0.03838911763176516,-0.3948682373613929,0.6929401320693691,qwen,ignore,prototypic_z,borderline_only
0.04337570898550437,0.09986255102785815,0.4343541051079705,0.6640313198521701,qwen,ignore,race_ambiguity_z,borderline_only
-0.005270820735099149,0.033810157482694565,-0.1558945928541437,0.8761161074774122,qwen,ignore,age_rated_z,borderline_only
-0.035209856153264545,0.08447011679648317,-0.416832099783843,0.6768012214673718,qwen,ignore,luminance_z,borderline_only
0.10120261796364272,0.2534755265499987,0.39925991807213085,0.6897016975721212,qwen,ignore,raceB,borderline_only
0.04440333945658735,0.19252134516826588,0.23064112406745507,0.8175936164256159,qwen,ignore,raceI,borderline_only
0.20906740107360997,0.16196425564171263,1.2908243256839091,0.196764600670752,qwen,ignore,raceL,borderline_only
0.2526731053553617,0.24958086986650793,1.012389713564616,0.3113517546959656,qwen,ignore,raceW,borderline_only
0.009403555213650673,0.0737681220093337,0.1274745100934095,0.8985648465780891,qwen,ignore,genderM,borderline_only
-0.10760412081191881,0.2938239522716293,-0.3662197039417767,0.7142011403508857,qwen,acknowledge,(Intercept),borderline_only
